ID,Name,ArmorType,Defense,MagicDefense,ElementResist,AilmentResist,AilmentResistRate,AgilityMod,SpecialEffect,EquipChar,BuyPrice,SellPrice,IsGiftable,GiftTarget,EmpathyValue,Description
# === 盾 (2001-2099) ===
2001,鍋のフタ,Shield,3,0,Fire,,,,,All,0,15,FALSE,,,台所にあった鍋のフタ。意外と頑丈。
2002,バックラー,Shield,7,0,,,,,,All,200,100,FALSE,,,軽量で扱いやすい盾。
2003,カイトシールド,Shield,11,0,Pierce,,,,,All,960,480,FALSE,,,突進を受け流す設計が特徴の騎士盾。
2004,エボニーシールド,Shield,14,0,Pierce,,,,,All,0,600,FALSE,,,漆黒の板で構成された盾。守りに徹する設計。
2005,オラクルガード,Shield,12,5,Pierce,,,,MagicDefUp,All,0,700,FALSE,,,預言者の名を冠する盾。
2006,真銀の盾,Shield,16,0,Pierce,,,,,All,0,800,FALSE,,,聖なる銀が鍛えられた、絶えぬ光を宿す防壁。
2007,花紋の盾,Shield,14,0,Pierce;Water;Earth,,,,,All,0,750,FALSE,,,繊細な花の紋様が刻まれた、美しくも頼れる盾。
2008,コーラルシールド,Shield,13,0,Pierce;Water,,,,,All,0,650,FALSE,,,サンゴの輝きが刻まれた優美な盾。
2009,スペクトルガード,Shield,15,0,Pierce;Fire;Water;Wind,,,,,All,0,900,FALSE,,,虹の加護を宿す盾。
2010,アイシーバリア,Shield,17,0,Pierce,,,,,All,0,850,FALSE,,,氷のように硬く、静かに敵を拒む盾。
2011,柳美盾,Shield,12,0,Pierce;Wind,,,,,All,0,600,FALSE,,,風にたなびく柳のごとく、しなやかに受け流す盾。
2012,貝殻の夢,Shield,10,3,Pierce,,,,MpRegen,All,0,700,FALSE,,,貝殻を模した、滑らかな曲線を描く盾。
2013,ハーフムーン,Shield,14,0,Pierce;Dark,,,,,All,0,750,FALSE,,,半月を模して鍛えられた美しい盾。
2014,落涙の盾,Shield,11,6,Pierce,,,,MagicDefUp,All,0,800,FALSE,,,涙型の小盾。静かな意志を宿す。
2015,ネヴァーモア,Shield,18,0,Pierce;Fire;Dark,,,,,All,0,1000,FALSE,,,絶望の淵で鍛えられた漆黒の盾。
2016,エヴァーモア,Shield,18,0,Pierce;Water;Light,,,,,All,0,1000,FALSE,,,輝きを宿した純白の盾。
2017,闘者の盾,Shield,20,0,Pierce;Strike;Water;Dark,,,,,All,0,1200,FALSE,,,打ちのめされても立ち向かい、闘う者を守るための盾。
2018,ねこみみシールド,Shield,10,0,Pierce,,,,EvasionUp,All,0,500,FALSE,,,にゃんとも頼れる、お耳つきの盾。
# === 軽装 (2101-2199) ===
2101,旅人の服,LightArmor,10,0,Strike,,,,,All,0,0,FALSE,,,新たなる旅に出た者が身にまとう衣服。
2102,ハンタージャケット,LightArmor,18,0,Strike,,,,,All,1700,850,FALSE,,,狩人の装いを模した軽装防具。
2103,レザーアーマー,LightArmor,25,0,Strike,,,,,All,3500,1750,FALSE,,,革で作られた、軽量な防具。
2104,忍び装束,LightArmor,22,0,Strike;Dark,,,,EvasionUp,All,0,1200,FALSE,,,影に溶け込むための漆黒の装束。音もなく敵に接近できる。
2105,ナイトフォレスト,LightArmor,24,0,Strike;Earth;Dark,,,,,All,0,1300,FALSE,,,夜の森の静寂を纏う衣。月明かりの下で真価を発揮する。
2106,トワイライトシャドウ,LightArmor,23,0,Strike;Light,,,,,All,0,1250,FALSE,,,黄昏の影を織り込んだ神秘の衣。光と闇の狭間で身を守る。
